City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
157,coquimbo,-29.9533,-71.3436,58.91,74,4,4.43,CL,1699924233
158,bhamo,24.2667,97.2333,67.44,89,12,1.48,MM,1699924194
159,rocha,-34.4833,-54.3333,57.92,84,100,6.55,UY,1699924233
160,bathsheba,13.2167,-59.5167,80.46,68,0,16.46,BB,1699924233
161,hamilton,39.1834,-84.5333,54.09,49,0,4.61,US,1699924234
162,sitka,57.0531,-135.33,40.89,87,100,4.61,US,1699924234
163,invercargill,-46.4,168.35,58.98,55,74,11.1,NZ,1699923973
164,chui,-33.6971,-53.4616,61.3,88,100,10.29,UY,1699924234
165,thompson,55.7435,-97.8558,26.29,96,100,3.56,CA,1699924026
166,basco,20.4487,121.9702,78.66,69,82,24.99,PH,1699924235
167,st. john's,47.5649,-52.7093,32.97,83,99,1.99,CA,1699924235
168,olyokminsk,60.3736,120.4264,15.31,94,100,4.43,RU,1699924235
169,tolanaro,-25.0319,46.9987,70.09,81,18,4.63,MG,1699924235
170,ujae,8.9322,165.7642,82.98,82,100,19.89,MH,1699924236
171,nova sintra,14.8667,-24.7167,74.7,72,100,11.9,CV,1699924026
172,iowa city,41.6611,-91.5302,52.72,44,0,0.0,US,1699924030
173,falkenberg,56.9055,12.4912,42.26,100,100,16.78,SE,1699924236
174,usinsk,65.9939,57.5281,15.08,87,100,7.0,RU,1699924237
175,constantia,44.1833,28.65,36.28,50,31,9.35,RO,1699924237
176,myrina,39.8797,25.0742,47.44,87,0,0.0,GR,1699924237
177,alajarvi,63.0,23.8167,25.48,91,100,6.15,FI,1699924237
178,jabat,7.75,168.9751,81.19,83,100,12.12,MH,1699924238
179,porto novo,6.4965,2.6036,79.2,86,3,2.46,BJ,1699924238
180,aasiaat,68.7098,-52.8699,13.69,83,100,3.49,GL,1699924238
181,hays,30.0502,-98.0336,62.04,88,98,3.0,US,1699924238
182,magadan,59.5667,150.8,6.71,73,75,12.62,RU,1699924239
183,wad az zaki,14.4619,32.2065,87.31,24,86,9.78,SD,1699924239
184,anadyr,64.75,177.4833,10.9,72,13,22.37,RU,1699924239
185,awjilah,29.1081,21.2869,65.44,85,0,8.39,LY,1699924239
186,saint john,45.2727,-66.0677,28.87,80,4,2.39,CA,1699924202
187,nouadhibou,20.931,-17.0347,75.18,33,13,10.36,MR,1699924239
188,comilla,23.4578,91.2044,68.04,84,21,3.96,BD,1699924240
189,nuuk,64.1835,-51.7216,25.41,86,100,15.01,GL,1699924240
190,banff,51.1762,-115.5698,32.59,91,99,5.01,CA,1699924240
191,den burg,53.0542,4.7972,55.98,79,75,33.38,NL,1699924240
192,canutama,-6.5339,-64.3831,82.8,64,70,2.13,BR,1699924241
193,kristinestad,62.2743,21.376,26.1,92,100,9.15,FI,1699924241
194,gizo,-8.103,156.8419,82.06,75,100,8.79,SB,1699924241
195,luwingu,-10.2621,29.9271,64.36,87,100,2.73,ZM,1699924241
196,lubao,14.9167,120.55,84.27,70,94,13.42,PH,1699924241
197,ariquemes,-9.9133,-63.0408,78.51,74,100,2.77,BR,1699924247
198,arona,28.0996,-16.681,71.91,38,0,2.3,ES,1699924247
199,carutapera,-1.195,-46.02,77.74,82,56,7.4,BR,1699924247
200,belousovka,50.1339,82.5239,34.65,93,100,4.47,KZ,1699924247
201,mount pearl,47.5166,-52.7813,32.14,83,98,1.99,CA,1699924248
202,ribeira brava,32.65,-17.0667,70.43,78,9,2.24,PT,1699924248
203,hawaiian paradise park,19.5933,-154.9731,81.91,71,20,5.75,US,1699924199
204,katsuura,35.1333,140.3,57.02,42,0,1.05,JP,1699924248
205,berezovo,63.9381,65.0419,17.46,92,100,10.63,RU,1699924249
206,kourou,5.1552,-52.6478,78.85,87,11,8.39,GF,1699924249
207,uwajima,33.2238,132.56,56.32,53,3,3.85,JP,1699924249
208,puerto cabezas,14.0351,-83.3888,77.13,93,100,3.38,NI,1699924249
209,esmeraldas,-19.7625,-44.3139,86.86,38,88,2.13,BR,1699924249
210,khawr fakkan,25.3313,56.342,71.65,33,24,3.24,AE,1699924250
211,naze,28.3667,129.4833,62.2,59,80,8.37,JP,1699924065
212,vila velha,-20.3297,-40.2925,78.94,84,0,14.0,BR,1699924031
213,chibougamau,49.9168,-74.3659,26.1,93,100,8.88,CA,1699924250
214,weno,7.4515,151.8468,85.95,79,100,5.75,FM,1699924250
215,ta`u,-14.2336,-169.5144,82.92,80,22,13.38,AS,1699924251
216,flin flon,54.7682,-101.865,31.84,86,75,4.61,CA,1699923807
217,abadan,30.3392,48.3043,72.57,37,41,2.3,IR,1699924251
218,tete,-16.1564,33.5867,75.15,60,47,8.75,MZ,1699924251
219,novoanninskiy,50.5287,42.6747,38.48,94,100,6.76,RU,1699924252
220,great bend,38.3645,-98.7648,57.04,60,0,6.91,US,1699924252
221,amarante do maranhao,-5.5667,-46.7422,82.44,46,39,2.57,BR,1699924253
222,pagar alam,-4.0167,103.2667,76.37,85,100,1.86,ID,1699924253
223,susuman,62.7833,148.1667,-22.23,98,77,0.98,RU,1699924253
224,yemetsk,63.4721,41.7941,27.09,96,95,6.4,RU,1699924249
225,tralee,52.2704,-9.7026,51.94,88,100,13.85,IE,1699924254
226,kluang,2.0251,103.3328,79.74,89,99,3.15,MY,1699924190
227,fort bragg,35.139,-79.006,49.14,84,0,3.44,US,1699924254
228,pula,44.8683,13.8481,57.76,100,100,0.0,HR,1699924254
229,santa rosalia,27.3167,-112.2833,68.83,57,100,1.5,MX,1699924254
230,egilsstadir,65.2653,-14.3948,35.51,93,75,3.44,IS,1699924255
231,kosciusko,33.0576,-89.5876,55.02,69,100,4.23,US,1699924149
232,oriximina,-1.7656,-55.8661,84.85,50,100,1.41,BR,1699924255
233,liwonde,-15.0506,35.2035,71.8,85,96,3.44,MW,1699924255
234,porto-vecchio,41.591,9.2795,65.86,72,20,23.02,FR,1699924256
